Name,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SFG,HBP,AVG,OBP,SLG,OPS
Aaron Judge,NYY,OF,33,58,220,55,86,15,2,21,50,4,2,39,57,0,1,2,0.391,0.485,0.764,1.249
Aaron Schunk,COL,3B,27,11,28,1,6,1,0,0,0,0,0,0,8,1,0,0,0.214,0.214,0.25,0.464
Abraham Toro,BOS,3B,28,18,58,8,18,4,0,3,5,0,0,0,9,0,0,0,0.31,0.31,0.534,0.844
Adael Amador,COL,2B,22,33,89,3,13,4,0,1,5,1,1,10,25,2,0,1,0.146,0.24,0.225,0.465
Adam Frazier,PIT,2B,33,55,169,15,42,8,0,3,15,4,3,15,32,0,1,3,0.249,0.319,0.349,0.668
Addison Barger,TOR,3B,25,38,120,15,32,11,0,5,17,1,0,11,27,0,0,1,0.267,0.333,0.483,0.816
Adley Rutschman,BAL,C,27,53,187,22,38,7,1,5,15,0,0,25,37,0,0,1,0.203,0.3,0.332,0.632
Adolis Garcia,TEX,OF,32,56,197,16,41,11,0,7,27,5,2,11,57,0,4,3,0.208,0.256,0.371,0.627
Agustin Ramirez,MIA,C,23,34,134,17,34,11,0,7,17,1,2,12,24,0,0,0,0.254,0.315,0.493,0.808
Akil Baddoo,DET,OF,26,7,17,0,2,1,0,0,1,1,0,1,5,0,0,0,0.118,0.167,0.176,0.343
Alan Roden,TOR,OF,25,29,73,8,13,3,0,1,5,0,0,5,18,0,2,4,0.178,0.262,0.26,0.522
Alan Trejo,COL,SS,29,14,40,3,7,2,0,0,1,0,0,1,7,1,1,0,0.175,0.19,0.225,0.415
Alec Bohm,PHI,3B,28,56,219,25,58,8,1,5,21,1,0,9,38,0,2,3,0.265,0.3,0.379,0.679
Alec Burleson,STL,OF,26,49,154,14,43,7,0,4,16,3,0,11,25,0,0,0,0.279,0.327,0.403,0.73
Alejandro Kirk,TOR,C,26,47,166,11,50,5,0,3,23,0,0,13,18,0,3,1,0.301,0.35,0.386,0.736
Alejandro Osuna,TEX,OF,22,7,15,1,4,0,0,0,0,0,2,5,3,0,0,1,0.267,0.476,0.267,0.743
Alek Thomas,ARI,OF,25,50,145,13,37,8,2,1,16,3,2,6,38,1,1,4,0.255,0.301,0.359,0.66
Alex Bregman,BOS,3B,31,51,197,32,59,17,0,11,35,1,1,22,42,0,1,6,0.299,0.385,0.553,0.938
Alex Call,WSN,OF,30,38,105,15,28,6,2,0,14,1,0,18,19,4,3,3,0.267,0.38,0.362,0.742
Alex Verdugo,ATL,OF,29,35,135,17,35,9,0,0,10,1,0,10,18,0,0,2,0.259,0.32,0.326,0.646
Alexander Canario,PIT,OF,25,35,113,13,26,3,1,3,7,2,0,9,36,0,0,0,0.23,0.287,0.354,0.641
Ali Sanchez,TOR,C,28,5,11,0,2,1,0,0,0,0,0,0,3,0,0,0,0.182,0.182,0.273,0.455
Amed Rosario,WSN,2B,29,28,89,13,27,7,0,2,12,1,0,2,14,0,0,2,0.303,0.333,0.449,0.782
Andres Gimenez,TOR,2B,26,36,128,17,25,5,0,3,10,9,1,10,26,0,1,4,0.195,0.273,0.305,0.578
Andrew Benintendi,CHW,OF,30,33,118,17,29,2,1,6,22,0,0,12,27,0,2,2,0.246,0.321,0.432,0.753
Andrew McCutchen,PIT,DH,38,52,174,18,46,9,0,5,18,1,0,27,37,0,1,2,0.264,0.368,0.402,0.77
Andrew Vaughn,CHW,1B,27,48,185,9,35,8,0,5,19,0,0,7,43,0,1,0,0.189,0.218,0.314,0.532
Andruw Monasterio,MIL,2B,28,12,15,1,2,1,0,0,1,0,0,5,4,0,0,0,0.133,0.35,0.2,0.55
Andy Ibanez,DET,2B,32,42,86,12,18,3,0,2,14,3,0,7,11,0,1,4,0.209,0.296,0.314,0.61
Andy Pages,LAD,OF,24,55,208,28,58,7,1,11,37,6,2,13,44,0,1,3,0.279,0.329,0.481,0.81
Angel Martinez,CLE,OF,23,44,150,17,38,8,1,3,20,4,0,4,27,1,2,1,0.253,0.274,0.38,0.654
Anthony Santander,TOR,OF,30,50,184,14,33,5,0,6,18,0,0,24,55,0,1,0,0.179,0.273,0.304,0.577
Anthony Volpe,NYY,SS,24,57,209,28,50,17,2,6,33,7,4,25,61,0,4,2,0.239,0.321,0.426,0.747
Austin Barnes,LAD,C,35,13,42,4,9,3,0,0,2,0,0,1,14,1,0,0,0.214,0.233,0.286,0.519
Austin Hays,CIN,OF,29,31,119,23,36,6,3,6,25,2,0,8,32,0,2,1,0.303,0.346,0.555,0.901
Austin Hedges,CLE,C,32,22,53,5,6,0,0,3,3,1,0,7,21,1,0,0,0.113,0.217,0.283,0.5
Austin Riley,ATL,3B,28,58,236,31,65,10,0,10,33,2,1,18,71,0,0,3,0.275,0.335,0.445,0.78
Austin Slater,CHW,OF,32,15,29,4,7,2,0,2,2,0,0,3,10,0,0,0,0.241,0.313,0.517,0.83
Austin Wells,NYY,C,25,50,165,20,35,9,1,9,32,3,1,15,46,0,6,4,0.212,0.284,0.442,0.726
Austin Wynns,CIN,C,34,18,40,6,16,3,0,3,11,0,0,3,12,0,0,0,0.4,0.442,0.7,1.142
Ben Rice,NYY,1B,26,51,172,31,43,11,1,12,25,2,1,18,47,0,1,6,0.25,0.34,0.535,0.875
Ben Rortvedt,TBR,C,27,26,63,2,6,1,0,0,6,0,0,7,14,0,0,0,0.095,0.186,0.111,0.297
Benjamin Williamson,SEA,3B,24,40,144,20,36,5,0,1,13,1,1,6,39,0,0,0,0.25,0.28,0.306,0.586
Blaine Crim,TEX,1B,27,5,11,1,0,0,0,0,0,0,0,1,6,0,0,1,0,0.154,0,0.154
Blake Dunn,CIN,OF,26,30,60,10,9,2,0,1,7,1,1,8,25,0,0,7,0.15,0.32,0.233,0.553
Blake Sabol,BOS,C,27,8,16,2,2,1,0,0,1,0,0,1,7,0,1,0,0.125,0.167,0.188,0.355
Bo Bichette,TOR,SS,27,59,249,26,69,17,0,7,32,4,2,16,43,0,1,2,0.277,0.325,0.43,0.755
Bo Naylor,CLE,C,25,44,134,20,24,5,1,7,16,1,1,22,44,1,2,0,0.179,0.291,0.388,0.679
Bobby Dalbec,CHW,1B,29,7,18,2,4,1,0,0,1,0,0,3,6,0,0,0,0.222,0.333,0.278,0.611
Bobby Witt Jr.,KCR,SS,24,60,233,30,66,22,3,6,31,20,5,20,47,0,5,3,0.283,0.341,0.481,0.822
Brandon Lockridge,SDP,OF,28,32,62,8,12,4,0,0,4,7,0,4,14,2,0,1,0.194,0.254,0.258,0.512
Brandon Lowe,TBR,2B,30,54,207,30,50,6,0,11,31,2,1,15,60,0,1,1,0.242,0.295,0.43,0.725
Brandon Marsh,PHI,OF,27,40,100,13,22,5,0,2,12,2,1,15,32,1,1,0,0.22,0.319,0.33,0.649
Brandon Nimmo,NYM,OF,32,55,199,24,46,10,0,9,29,1,1,17,41,0,2,1,0.231,0.292,0.417,0.709
Braxton Fulford,COL,C,26,4,8,1,1,0,0,1,1,0,0,0,5,0,0,0,0.125,0.125,0.5,0.625
Brayan Rocchio,CLE,SS,24,35,91,8,15,3,0,0,8,2,2,5,21,0,2,4,0.165,0.235,0.198,0.433
Brendan Donovan,STL,2B,28,56,217,31,70,18,0,4,24,3,1,18,27,1,1,4,0.323,0.383,0.461,0.844
Brendan Rodgers,HOU,2B,28,37,100,10,19,4,0,1,10,0,1,9,42,0,1,1,0.19,0.261,0.26,0.521
Brent Rooker,ATH,DH,30,60,240,37,64,11,1,13,31,2,1,21,61,0,0,2,0.267,0.331,0.483,0.814
Brenton Doyle,COL,OF,27,49,185,16,39,7,1,5,21,6,0,16,51,0,1,0,0.211,0.272,0.341,0.613
Brett Baty,NYM,3B,25,41,120,14,29,4,2,6,20,2,0,6,36,0,0,1,0.242,0.283,0.458,0.741
Brett Wisely,SFG,2B,26,5,10,1,0,0,0,0,2,0,1,0,3,2,0,0,0,0,0,0
Brewer Hicklen,DET,OF,29,1,3,2,2,0,0,0,0,1,0,1,1,0,0,0,0.667,0.75,0.667,1.417
Brice Turang,MIL,2B,25,57,215,40,59,6,0,4,24,14,4,27,54,1,2,1,0.274,0.355,0.358,0.713
Brooks Baldwin,CHW,2B,24,44,130,8,28,6,0,3,16,2,0,7,38,2,2,1,0.215,0.257,0.331,0.588
Brooks Lee,MIN,SS,24,43,152,11,36,4,0,4,16,0,1,9,27,0,2,0,0.237,0.276,0.342,0.618
Bryan De La Cruz,ATL,OF,28,16,47,1,9,1,0,0,0,1,0,3,18,0,0,0,0.191,0.24,0.213,0.453
Bryan Reynolds,PIT,OF,30,57,227,21,54,9,1,7,34,3,2,22,64,0,3,2,0.238,0.307,0.379,0.686
Bryce Harper,PHI,1B,32,54,202,30,54,13,0,8,33,8,0,33,42,0,2,3,0.267,0.375,0.45,0.825
Bryson Stott,PHI,2B,27,53,201,29,51,6,2,4,24,11,1,19,39,1,1,1,0.254,0.32,0.363,0.683
Byron Buxton,MIN,OF,31,43,169,36,45,5,3,10,30,9,0,11,59,0,3,2,0.266,0.314,0.509,0.823
Cal Raleigh,SEA,C,28,58,212,39,56,10,0,23,45,6,1,37,69,0,1,3,0.264,0.379,0.637,1.016
Cal Stevenson,PHI,OF,28,5,8,0,2,0,0,0,1,0,0,0,2,0,0,0,0.25,0.25,0.25,0.5
Caleb Durbin,MIL,2B,25,41,131,13,29,10,0,1,21,5,2,7,12,2,2,9,0.221,0.302,0.321,0.623
Cam Smith,HOU,3B,22,46,153,18,39,8,1,3,17,2,0,17,49,0,0,3,0.255,0.341,0.379,0.72
Carlos Correa,MIN,SS,30,50,178,21,44,10,0,5,18,0,0,11,35,0,1,0,0.247,0.289,0.388,0.677
Carlos Narvaez,BOS,C,26,44,151,21,43,11,0,5,17,1,1,15,41,0,0,0,0.285,0.349,0.457,0.806
Carlos Santana,CLE,1B,39,54,187,30,49,5,0,7,29,2,0,31,38,0,3,3,0.262,0.371,0.401,0.772
Carson Kelly,CHC,C,30,36,114,24,31,3,1,9,24,0,0,23,18,0,1,1,0.272,0.396,0.553,0.949
Carson McCusker,MIN,OF,27,5,6,0,1,0,0,0,0,0,0,0,4,0,0,0,0.167,0.167,0.167,0.334
Casey Schmitt,SFG,2B,26,15,41,2,8,3,0,0,3,0,0,4,14,0,0,2,0.195,0.298,0.268,0.566
Cavan Biggio,KCR,2B,30,37,69,9,12,2,0,1,4,1,0,11,21,2,0,1,0.174,0.296,0.246,0.542
Ceddanne Rafaela,BOS,OF,24,56,188,32,45,9,2,3,20,7,0,10,41,2,1,3,0.239,0.287,0.356,0.643
Cedric Mullins,BAL,OF,30,50,181,25,42,9,0,10,31,8,2,23,52,0,1,2,0.232,0.324,0.448,0.772
Cesar Salazar,HOU,C,29,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chadwick Tromp,ATL,C,30,2,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.167,0,0.167
Chadwick Tromp,BAL,C,30,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Chandler Simpson,TBR,OF,24,35,123,17,35,4,0,0,11,19,3,6,14,1,1,0,0.285,0.315,0.317,0.632
Chas McCormick,HOU,OF,30,36,43,6,11,2,0,0,2,1,3,5,14,4,0,1,0.256,0.347,0.302,0.649
Chase Meidroth,CHW,SS,23,36,128,17,36,4,0,1,5,8,1,16,17,0,0,0,0.281,0.361,0.336,0.697
Chris Taylor,LAD,2B,34,28,35,4,7,2,0,0,2,0,1,0,13,0,0,0,0.2,0.2,0.257,0.457
Chris Taylor,LAA,2B,34,4,11,0,1,0,0,0,0,0,0,0,6,0,0,0,0.091,0.091,0.091,0.182
Christian Encarnacion-Strand,CIN,1B,25,15,57,4,9,2,0,2,5,0,1,1,13,0,1,1,0.158,0.183,0.298,0.481
Christian Koss,SFG,SS,27,27,64,6,14,0,0,1,8,0,0,4,21,2,0,1,0.219,0.275,0.266,0.541
Christian Vazquez,MIN,C,34,30,86,6,18,5,0,1,6,0,1,7,16,0,1,0,0.209,0.266,0.302,0.568
Christian Walker,HOU,1B,34,57,213,23,45,8,1,7,26,0,0,15,65,0,2,5,0.211,0.277,0.357,0.634
Christian Yelich,MIL,OF,33,57,215,31,50,5,0,12,39,10,2,24,64,0,1,3,0.233,0.317,0.423,0.74
Christopher Morel,TBR,2B,25,46,128,18,26,8,0,3,11,3,2,13,52,0,0,2,0.203,0.287,0.336,0.623
CJ Abrams,WSN,SS,24,46,183,34,50,11,2,8,19,10,2,13,39,1,1,8,0.273,0.346,0.486,0.832
C.J. Alexander,ATH,3B,28,5,13,0,3,0,0,0,0,0,0,0,6,0,0,0,0.231,0.231,0.231,0.462
Coby Mayo,BAL,3B,23,6,19,1,2,0,0,0,1,0,0,1,8,0,0,0,0.105,0.15,0.105,0.255
Coco Montes,TBR,2B,28,5,10,0,2,0,0,0,1,0,0,0,3,0,0,0,0.2,0.2,0.2,0.4
Cody Bellinger,NYY,OF,29,53,194,30,49,9,2,8,32,5,2,24,38,0,5,1,0.253,0.33,0.443,0.773
Cole Young,SEA,SS,21,2,7,0,1,0,0,0,1,0,0,1,2,0,0,0,0.143,0.25,0.143,0.393
Colt Keith,DET,2B,23,53,156,28,37,9,1,4,16,0,0,21,40,0,1,0,0.237,0.326,0.385,0.711
Colton Cowser,BAL,OF,25,4,16,2,2,0,0,1,1,0,0,1,6,0,0,1,0.125,0.222,0.313,0.535
Connor Joe,CIN,OF,32,10,28,1,8,2,0,0,1,1,2,2,3,0,0,0,0.286,0.333,0.357,0.69
Connor Joe,SDP,OF,32,7,9,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.1,0,0.1
Connor Norby,MIA,3B,24,38,138,19,36,9,1,3,16,4,2,5,44,0,0,3,0.261,0.301,0.406,0.707
Connor Wong,BOS,C,29,23,55,4,8,0,0,0,0,1,0,5,16,0,0,1,0.145,0.23,0.145,0.375
Cooper Hummel,BAL,OF,30,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Corbin Carroll,ARI,OF,24,59,240,44,61,11,6,16,35,10,3,21,66,0,0,5,0.254,0.327,0.55,0.877
Corey Seager,TEX,SS,31,30,116,15,32,4,0,6,12,0,0,7,24,0,0,0,0.276,0.317,0.466,0.783
Curtis Mead,TBR,2B,24,35,84,7,18,2,0,3,7,2,1,6,24,0,1,3,0.214,0.287,0.345,0.632
Dairon Blanco,KCR,OF,32,9,6,2,1,1,0,0,1,3,2,0,2,2,0,0,0.167,0.167,0.333,0.5
Dalton Rushing,LAD,C,24,7,22,5,6,1,0,1,7,0,0,1,11,0,0,0,0.273,0.304,0.455,0.759
Dane Myers,MIA,OF,29,32,88,13,28,3,0,3,14,7,2,7,22,0,0,0,0.318,0.368,0.455,0.823
Daniel Schneemann,CLE,SS,28,47,129,19,30,5,0,7,16,2,1,17,37,1,0,0,0.233,0.322,0.434,0.756
Danny Jansen,TBR,C,30,40,120,10,23,4,0,4,12,0,0,21,33,0,0,2,0.192,0.322,0.325,0.647
Dansby Swanson,CHC,SS,31,59,226,38,55,8,1,11,32,7,2,20,66,1,2,0,0.243,0.302,0.434,0.736
DaShawn Keirsey Jr.,MIN,OF,28,45,64,6,7,0,0,1,4,5,2,1,21,0,0,1,0.109,0.136,0.156,0.292
Daulton Varsho,TOR,OF,28,24,92,14,19,5,1,8,20,1,0,5,31,0,3,0,0.207,0.24,0.543,0.783
David Fry,CLE,C,29,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
David Hamilton,BOS,2B,27,35,76,11,14,2,0,2,6,10,1,2,22,2,0,1,0.184,0.215,0.289,0.504
David Villar,SFG,2B,28,9,20,4,4,1,0,0,1,0,0,4,5,0,0,1,0.2,0.36,0.25,0.61
Davis Schneider,TOR,2B,26,11,18,3,2,0,0,0,1,0,0,6,9,0,0,1,0.111,0.36,0.111,0.471
Daylen Lile,WSN,OF,22,9,28,2,6,3,1,0,2,0,1,2,7,0,1,1,0.214,0.281,0.393,0.674
Daz Cameron,MIL,OF,28,16,31,5,5,1,0,0,1,1,0,1,10,0,0,0,0.161,0.188,0.194,0.382
Denzel Clarke,ATH,OF,25,9,28,3,5,0,0,1,3,2,0,1,18,0,0,1,0.179,0.233,0.286,0.519
Derek Hill,MIA,OF,29,23,73,11,17,4,0,2,5,6,0,6,29,2,0,1,0.233,0.3,0.37,0.67
Dillon Dingler,DET,C,26,43,157,16,47,8,1,5,22,0,0,4,42,0,0,3,0.299,0.329,0.459,0.788
DJ LeMahieu,NYY,3B,36,15,46,2,11,1,0,1,5,0,0,5,12,0,0,0,0.239,0.314,0.326,0.64
Dominic Canzone,SEA,OF,27,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Donovan Solano,SEA,2B,37,34,75,2,13,2,0,0,2,0,0,4,19,0,1,0,0.173,0.213,0.2,0.413
Drake Baldwin,ATL,C,24,36,106,11,34,4,0,5,15,0,0,8,16,0,0,0,0.321,0.368,0.5,0.868
Drew Avans,ATH,OF,28,5,11,0,1,0,0,0,0,0,0,0,5,0,0,0,0.091,0.091,0.091,0.182
Drew Waters,KCR,OF,26,44,146,17,41,6,3,1,13,4,1,5,39,0,0,2,0.281,0.314,0.384,0.698
Dustin Harris,TEX,OF,25,16,35,4,7,2,0,1,1,1,1,3,11,0,0,0,0.2,0.263,0.343,0.606
Dylan Carlson,BAL,OF,26,22,50,5,11,3,0,2,9,1,2,3,17,0,1,0,0.22,0.259,0.4,0.659
Dylan Crews,WSN,OF,23,45,158,24,31,2,1,7,15,11,3,11,48,0,0,4,0.196,0.266,0.354,0.62
Dylan Moore,SEA,2B,32,45,129,21,34,4,0,8,16,8,4,12,40,0,2,0,0.264,0.322,0.481,0.803
Eddie Rosario,ATL,OF,33,3,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Eddie Rosario,LAD,OF,33,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
Edgar Quero,CHW,C,22,36,113,7,28,6,0,0,10,0,1,13,21,0,0,2,0.248,0.336,0.301,0.637
Edmundo Sosa,PHI,SS,29,31,85,10,25,5,0,1,13,0,0,5,20,1,1,1,0.294,0.337,0.388,0.725
Edouard Julien,MIN,2B,26,29,91,8,18,5,0,2,8,0,2,11,29,0,1,1,0.198,0.288,0.319,0.607
Eli White,ATL,OF,30,47,131,22,32,7,3,2,13,5,1,7,32,1,0,1,0.244,0.288,0.389,0.677
Elias Diaz,SDP,C,34,46,123,16,27,4,0,3,8,0,0,10,29,1,0,0,0.22,0.278,0.325,0.603
Elly De La Cruz,CIN,SS,23,60,233,45,60,10,0,12,42,17,5,24,72,0,1,2,0.258,0.331,0.455,0.786
Emmanuel Rivera,BAL,3B,28,23,61,3,15,2,0,0,3,0,0,5,11,0,0,1,0.246,0.313,0.279,0.592
Endy Rodriguez,PIT,C,25,16,49,4,8,3,0,0,2,0,1,5,14,0,0,0,0.163,0.241,0.224,0.465
Enmanuel Valdez,PIT,2B,26,31,91,7,19,4,2,2,12,0,0,11,16,0,0,0,0.209,0.294,0.363,0.657
Enrique Hernandez,LAD,3B,33,46,117,19,28,3,0,7,18,0,0,11,32,1,1,0,0.239,0.302,0.444,0.746
Eric Haase,MIL,C,32,19,39,6,9,1,0,2,5,0,0,3,16,1,0,0,0.231,0.286,0.41,0.696
Eric Wagaman,MIA,3B,27,53,198,24,50,12,1,4,17,1,1,15,36,0,1,0,0.253,0.304,0.384,0.688
Ernie Clement,TOR,3B,29,57,173,21,49,11,0,3,17,2,2,10,25,3,2,1,0.283,0.323,0.399,0.722
Eugenio Suarez,ARI,3B,33,59,212,37,49,11,0,16,44,1,0,19,56,0,3,7,0.231,0.311,0.509,0.82
Evan Carter,TEX,OF,22,11,33,5,6,0,0,1,3,3,0,3,6,0,0,1,0.182,0.27,0.273,0.543
Ezequiel Duran,TEX,3B,26,16,35,2,4,1,0,0,1,0,0,0,12,0,1,1,0.114,0.135,0.143,0.278
Ezequiel Tovar,COL,SS,23,31,124,13,32,6,2,3,10,2,2,7,28,2,0,1,0.258,0.303,0.411,0.714
Fernando Tatis,SDP,OF,26,56,219,40,58,7,1,13,28,10,2,23,44,0,1,1,0.265,0.336,0.484,0.82
Francisco Alvarez,NYM,C,23,24,81,5,19,2,0,1,7,0,0,9,26,0,0,2,0.235,0.326,0.296,0.622
Francisco Lindor,NYM,SS,31,58,234,38,66,10,0,13,34,10,2,22,47,0,5,7,0.282,0.354,0.491,0.845
Freddie Freeman,LAD,1B,35,48,178,33,65,17,1,9,38,0,1,21,39,0,3,2,0.365,0.431,0.624,1.055
Freddy Fermin,KCR,C,30,35,103,10,25,3,0,1,7,0,0,5,19,1,0,1,0.243,0.284,0.301,0.585
Gabriel Arias,CLE,SS,25,55,184,24,44,11,0,4,24,2,2,15,57,1,2,4,0.239,0.307,0.364,0.671
Gabriel Moreno,ARI,C,25,47,152,26,42,8,1,4,16,1,1,13,27,0,0,1,0.276,0.337,0.421,0.758
Gage Workman,CHC,SS,25,9,14,0,3,1,0,0,2,1,0,1,6,0,0,0,0.214,0.267,0.286,0.553
Gage Workman,CHW,SS,25,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Garrett Hampson,ARI,SS,30,18,30,10,5,0,0,0,0,2,1,9,10,2,0,0,0.167,0.359,0.167,0.526
Garrett Hampson,CIN,SS,30,2,8,0,2,0,0,0,0,0,0,1,2,0,0,0,0.25,0.333,0.25,0.583
Garrett Mitchell,MIL,OF,26,25,68,9,14,4,1,0,3,3,0,7,25,1,1,1,0.206,0.286,0.294,0.58
Gary Sanchez,BAL,C,32,13,30,1,3,0,0,0,4,0,0,1,12,0,1,3,0.1,0.2,0.1,0.3
Gavin Lux,CIN,2B,27,54,175,20,51,14,1,1,22,1,0,25,48,0,0,0,0.291,0.38,0.4,0.78
Gavin Sheets,SDP,OF,29,54,176,23,47,7,0,11,34,1,0,13,46,0,1,2,0.267,0.323,0.494,0.817
George Springer,TOR,OF,35,55,175,31,45,12,1,8,24,7,0,31,49,0,2,2,0.257,0.371,0.474,0.845
Geraldo Perdomo,ARI,SS,25,58,205,29,58,13,0,6,41,11,0,34,28,2,7,3,0.283,0.382,0.434,0.816
Gio Urshela,ATH,3B,33,32,98,3,22,9,1,0,13,0,0,7,17,2,0,0,0.224,0.276,0.337,0.613
Gleyber Torres,DET,2B,28,47,167,25,45,8,0,5,27,4,1,29,23,0,2,3,0.269,0.383,0.407,0.79
Graham Pauley,MIA,3B,24,28,81,6,17,6,0,0,5,0,0,6,21,1,1,0,0.21,0.261,0.284,0.545
Greg Jones,CHW,OF,27,3,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Griffin Conine,MIA,OF,27,20,64,10,18,7,0,1,7,0,1,7,19,0,0,0,0.281,0.352,0.438,0.79
Gunnar Henderson,BAL,SS,23,51,205,29,53,11,2,7,15,6,1,18,59,0,0,0,0.259,0.318,0.434,0.752
Gustavo Campero,LAA,OF,27,5,10,1,2,0,0,0,0,1,0,2,2,0,0,0,0.2,0.333,0.2,0.533
